virtual_time,avatar_id,guild,place
0,56181,104,Orgrimmar
0,37,169,Shadowmoon Valley
0,22809,101,Terokkar Forest
0,70251,103,Shadowmoon Valley
0,58271,250,Mulgore
0,23605,115,Warsong Gulch
0,75439,NO,Mulgore
0,27103,103,Mulgore
0,73742,NO,The Barrens
0,64520,315,Arathi Highlands
0,40000,NO,Thunder Bluff
0,20194,155,The Underbog
0,22338,35,Warsong Gulch
0,43759,191,Alterac Valley
0,70731,103,Warsong Gulch
0,44813,189,Hellfire Peninsula
0,28845,282,Eye of the Storm
0,74191,282,Thousand Needles
0,182,NO,Durotar
0,73178,103,Hellfire Peninsula
0,27642,119,Shattrath City
0,70848,250,Western Plaguelands
0,71368,161,Nagrand
0,22942,282,Isle of Quel'Danas
0,65788,NO,Shattrath City
0,72159,NO,Undercity
0,74503,NO,Eversong Woods
0,13639,19,Blade's Edge Mountains
0,22756,251,The Underbog
0,52313,189,Isle of Quel'Danas
0,35002,35,Arathi Basin
0,53351,161,Isle of Quel'Danas
0,1384,62,Blade's Edge Mountains
0,65620,282,Isle of Quel'Danas
0,68454,103,The Underbog
0,47856,189,Silithus
0,71857,35,Terokkar Forest
0,75282,NO,The Barrens
0,65445,NO,Scarlet Monastery
0,73999,282,Orgrimmar
0,73086,35,Arathi Highlands
0,74043,251,Orgrimmar
0,45387,NO,Western Plaguelands
0,65403,282,Undercity
0,68378,9,The Underbog
0,73759,101,Nagrand
0,50411,101,Orgrimmar
0,35413,243,Shattrath City
0,70811,358,Eversong Woods
0,35655,259,The Underbog
0,72042,101,Isle of Quel'Danas
0,37289,243,Shattrath City
0,57744,402,Shattrath City
0,35625,103,Scarlet Monastery
0,72018,189,Alterac Valley
1,37,169,Shadowmoon Valley
1,22809,101,Terokkar Forest
1,70251,103,Shadowmoon Valley
1,58271,250,Mulgore
1,23605,115,Warsong Gulch
1,73742,NO,Dustwallow Marsh
1,75439,NO,Mulgore
1,27103,103,Mulgore
1,20194,155,The Underbog
1,22338,35,Warsong Gulch
1,43759,191,Alterac Valley
1,70731,103,Shattrath City
1,44813,189,Hellfire Peninsula
1,28845,282,Shattrath City
1,74191,282,Thousand Needles
1,182,NO,Durotar
1,73178,103,Hellfire Peninsula
1,70848,250,Western Plaguelands
1,71368,161,Nagrand
1,62763,189,Orgrimmar
1,70921,103,Warsong Gulch
1,72159,NO,Undercity
1,13639,19,Blade's Edge Mountains
1,22756,251,The Underbog
1,52313,189,Terokkar Forest
1,35002,35,Arathi Basin
1,53351,161,Isle of Quel'Danas
1,1384,62,Blade's Edge Mountains
