virtual_time,avatar_id,guild,place
0,59154,101,Tirisfal Glades
0,22895,9,Eye of the Storm
0,72857,4,Isle of Quel'Danas
0,75470,161,Shattrath City
0,24164,322,Nagrand
0,1706,5,Isle of Quel'Danas
0,23699,104,Shattrath City
0,66529,410,Nagrand
0,31409,NO,Orgrimmar
0,182,NO,Durotar
0,74915,282,Stranglethorn Vale
0,21957,103,Hellfire Peninsula
0,25748,421,Blade's Edge Mountains
0,78415,327,Hillsbrad Foothills
0,78588,NO,Hillsbrad Foothills
0,77913,327,Arathi Highlands
0,60220,456,Nagrand
0,22408,NO,Shattrath City
0,25982,103,Blade's Edge Mountains
0,13639,19,Isle of Quel'Danas
0,65620,282,Shattrath City
0,77572,327,Arathi Basin
0,67578,101,Blade's Edge Mountains
0,62987,189,Nagrand
0,47543,251,Hellfire Peninsula
0,72562,315,Zangarmarsh
0,43708,189,Zangarmarsh
0,66003,NO,Zangarmarsh
0,44398,NO,Shadowmoon Valley
0,48826,62,Terokkar Forest
0,67626,189,Netherstorm
0,54003,205,Hellfire Peninsula
0,37568,204,Isle of Quel'Danas
0,37410,115,The Barrens
1,59154,101,Western Plaguelands
1,72857,4,Isle of Quel'Danas
1,75470,161,Shattrath City
1,24164,322,Nagrand
1,1706,5,Isle of Quel'Danas
1,22715,282,Eye of the Storm
1,66529,410,Nagrand
1,182,NO,Durotar
1,21957,103,Terokkar Forest
1,25748,421,Blade's Edge Mountains
1,78415,327,Hillsbrad Foothills
1,77913,327,Undercity
1,78588,NO,Arathi Highlands
1,58279,NO,Isle of Quel'Danas
1,60220,456,Nagrand
1,25982,103,Blade's Edge Mountains
1,13639,19,Isle of Quel'Danas
1,77572,327,Alterac Valley
1,65620,282,Eye of the Storm
1,67578,101,Blade's Edge Mountains
1,62987,189,Nagrand
1,77865,327,Undercity
1,76159,282,Hellfire Peninsula
1,47543,251,Hellfire Peninsula
1,72562,315,Zangarmarsh
1,43708,189,Zangarmarsh
1,66003,NO,Blade's Edge Mountains
1,48826,62,Hellfire Peninsula
1,44398,NO,Shadowmoon Valley
1,67626,189,Netherstorm
1,54003,205,Hellfire Peninsula
1,37568,204,Terokkar Forest
1,37410,115,The Barrens
2,59154,101,Western Plaguelands
2,72857,4,Hellfire Peninsula
2,75470,161,Shattrath City
2,24164,322,Nagrand
2,1706,5,Isle of Quel'Danas
2,22715,282,Eye of the Storm
2,66529,410,Nagrand
2,64520,315,Shattrath City
2,182,NO,Durotar
2,21957,103,Isle of Quel'Danas
2,25748,421,Blade's Edge Mountains
2,77913,327,Tirisfal Glades
2,78588,NO,Arathi Highlands
2,58279,NO,Isle of Quel'Danas
2,60220,456,Nagrand
2,26082,103,Shattrath City
2,25982,103,Isle of Quel'Danas
2,13639,19,Isle of Quel'Danas
2,77572,327,Orgrimmar
2,65620,282,Eye of the Storm
2,67578,101,Blade's Edge Mountains
2,62987,189,Nagrand
2,77865,327,Undercity
2,76159,282,Hellfire Peninsula
2,47543,251,Hellfire Peninsula
2,72562,315,Zangarmarsh
2,43708,189,Zangarmarsh
2,63559,103,Shattrath City
2,67626,189,Orgrimmar
2,44398,NO,Shadowmoon Valley
2,48826,62,Shattrath City
2,64935,437,Nagrand
2,54003,205,Terokkar Forest
2,37568,204,Hellfire Peninsula
2,37410,115,Shattrath City
3,59154,101,Western Plaguelands
3,72857,4,Hellfire Peninsula
3,75470,161,Shattrath City
3,24164,322,Nagrand
3,1706,5,Orgrimmar
3,22715,282,Eye of the Storm
3,66529,410,Nagrand
3,64520,315,Shattrath City
3,182,NO,Durotar
3,21957,103,Isle of Quel'Danas
3,25748,421,Blade's Edge Mountains
3,77913,327,Undercity
3,78588,NO,Arathi Highlands
3,58279,NO,Isle of Quel'Danas
3,60220,456,Nagrand
3,26082,103,Isle of Quel'Danas
3,27711,103,Orgrimmar
3,25982,103,Isle of Quel'Danas
3,77572,327,Undercity
3,65620,282,Eye of the Storm
3,13639,19,Terokkar Forest
3,67578,101,Blade's Edge Mountains
3,62987,189,Nagrand
3,77865,327,Undercity
3,76159,282,Hellfire Peninsula
