virtual_time,avatar_id,guild,place
0,59016,NO,Tanaris
0,53900,167,Orgrimmar
0,58804,189,Ashenvale
0,58282,NO,The Barrens
0,58104,161,Hellfire Peninsula
0,4876,228,Orgrimmar
0,59749,NO,The Barrens
0,54965,226,Nagrand
0,28782,236,Coilfang: The Slave Pens
0,32358,NO,Blade's Edge Mountains
0,57640,103,Blade's Edge Mountains
0,55595,NO,Shadowmoon Valley
0,51,169,Terokkar Forest
0,22285,103,Blade's Edge Mountains
0,22796,216,Orgrimmar
0,23012,101,Netherstorm
0,58923,161,Thousand Needles
0,56453,NO,Mulgore
0,57554,NO,Blasted Lands
0,59433,NO,The Barrens
0,58570,53,The Barrens
0,57475,165,The Barrens
0,23334,174,Silverpine Forest
0,57885,NO,Silverpine Forest
0,58256,161,Arathi Highlands
0,40793,35,Hellfire Peninsula
0,53513,53,Hellfire Peninsula
0,51329,35,Hellfire Peninsula
0,50739,167,Un'Goro Crater
0,6210,103,Tirisfal Glades
0,58283,NO,Blasted Lands
0,53826,205,Nagrand
0,22288,103,Nagrand
0,24792,101,Netherstorm
0,476,216,Orgrimmar
0,21995,103,The Botanica
0,1274,104,Nagrand
0,22500,103,Zangarmarsh
0,24209,204,Zangarmarsh
0,22841,115,Hellfire Peninsula
0,22389,216,Orgrimmar
0,1616,5,Eye of the Storm
0,23564,103,Nagrand
0,22447,101,Blade's Edge Mountains
0,25300,216,Shattrath City
0,17866,96,Blade's Edge Mountains
0,26472,104,Shadowmoon Valley
0,22583,101,Shadowmoon Valley
0,22720,104,Nagrand
0,180,79,Nagrand
0,33395,213,Orgrimmar
0,182,NO,Durotar
0,57729,NO,The Barrens
0,26829,169,Winterspring
0,22263,101,Hellfire Peninsula
0,618,NO,Shattrath City
0,24193,NO,Shattrath City
0,17010,3,Scholomance
0,9240,NO,Alterac Valley
0,23183,168,Nagrand
0,21891,104,Shattrath City
0,55307,NO,Shadowmoon Valley
0,32990,NO,Nagrand
0,1131,216,Arathi Basin
0,21810,104,Shattrath City
0,14154,5,Orgrimmar
0,59133,NO,Wailing Caverns
0,59578,NO,Orgrimmar
0,8026,19,Hillsbrad Foothills
0,22786,169,Undercity
0,59730,NO,Tirisfal Glades
0,30922,NO,Durotar
0,59471,21,Ashenvale
0,22957,169,Stonetalon Mountains
0,57772,226,Stranglethorn Vale
0,54289,161,Stranglethorn Vale
0,56808,NO,Silverpine Forest
0,42207,169,Ghostlands
0,53439,161,Winterspring
0,17796,NO,Terokkar Forest
0,37045,NO,Burning Steppes
0,296,21,Nagrand
0,57741,189,Badlands
0,1563,62,Blade's Edge Mountains
0,22018,104,Blade's Edge Mountains
0,26098,53,Nagrand
0,53102,226,Nagrand
0,31708,104,Tanaris
0,19322,103,Orgrimmar
0,22104,103,Alterac Valley
0,10820,5,Eastern Plaguelands
0,30231,167,The Botanica
0,21931,103,Netherstorm
0,2211,205,Netherstorm
0,27654,103,Blade's Edge Mountains
0,383,204,Orgrimmar
0,25213,62,Orgrimmar
0,23118,204,Coilfang: The Slave Pens
0,1481,53,Shadowmoon Valley
0,17178,204,Shattrath City
0,22778,104,Terokkar Forest
0,22037,236,Terokkar Forest
0,45457,103,Arathi Basin
0,45783,216,Alterac Mountains
0,24439,104,The Botanica
0,10043,53,Terokkar Forest
0,23204,104,Orgrimmar
0,33994,167,Undercity
0,1055,5,Shattrath City
0,26580,NO,Terokkar Forest
0,26433,168,Netherstorm
0,2198,19,Netherstorm
0,47077,204,Zangarmarsh
0,56206,103,Blade's Edge Mountains
0,22914,104,Shadowmoon Valley
0,22132,101,Shadowmoon Valley
0,53018,167,Shadowmoon Valley
0,2317,19,Terokkar Forest
0,59740,NO,Eversong Woods
0,59750,NO,Eversong Woods
0,59586,NO,Eversong Woods
0,58720,NO,Undercity
0,37133,NO,Eversong Woods
0,59600,NO,Eversong Woods
0,59644,165,Ghostlands
0,59606,165,Ghostlands
0,59467,NO,Ghostlands
0,57756,NO,Ghostlands
0,58490,104,Ghostlands
0,59681,NO,Ghostlands
0,59042,NO,Hillsbrad Foothills
0,58382,165,Hillsbrad Foothills
0,57763,NO,Ashenvale
0,48417,NO,Ashenvale
0,59134,NO,Ashenvale
0,34319,165,Thunder Bluff
0,58489,NO,Ghostlands
0,59548,NO,Ghostlands
0,58865,NO,Hillsbrad Foothills
0,57840,NO,Hillsbrad Foothills
0,57383,165,Hillsbrad Foothills
0,46465,NO,Arathi Highlands
0,49491,NO,Dustwallow Marsh
0,58859,NO,Stranglethorn Vale
0,59039,169,Mulgore
0,56072,161,Feralas
0,57632,NO,Feralas
0,47756,235,Felwood
0,34940,235,Felwood
0,49788,161,Undercity
0,56081,161,Felwood
0,55967,21,Winterspring
0,42837,161,Winterspring
0,58314,161,Undercity
0,37093,189,Undercity
0,39717,167,Hellfire Peninsula
0,58343,226,Hellfire Peninsula
0,52430,161,Terokkar Forest
0,43248,168,Terokkar Forest
0,55481,226,Blade's Edge Mountains
0,36139,53,Blade's Edge Mountains
0,51738,104,Alterac Valley
0,35697,189,Shadowmoon Valley
0,35729,204,Shadowmoon Valley
0,51138,189,Shadowmoon Valley
0,53078,204,Shadowmoon Valley
0,40458,NO,Tirisfal Glades
0,55048,16,Eye of the Storm
