virtual_time,avatar_id,guild,place
0,62859,NO,Durotar
0,1003,281,Tirisfal Glades
0,3634,62,Stranglethorn Vale
0,1217,305,The Mechanar
0,70251,103,The Steamvault
0,58724,250,The Mechanar
0,72857,4,Warsong Gulch
0,28710,103,Orgrimmar
0,74957,NO,Tanaris
0,76157,NO,Mulgore
0,2504,NO,Mulgore
0,75816,4,The Barrens
0,19664,62,The Barrens
0,73308,NO,Shattrath City
0,73850,251,Badlands
0,62023,275,Felwood
0,12562,NO,Blade's Edge Mountains
0,19140,251,Shadowmoon Valley
0,68159,NO,Shattrath City
0,27212,101,Shattrath City
0,6144,101,Isle of Quel'Danas
0,26111,104,Shattrath City
0,14389,103,Shattrath City
0,13987,161,The Mechanar
0,23142,150,Terokkar Forest
0,22503,101,Nagrand
0,22389,250,Arathi Basin
0,31598,103,Blade's Edge Mountains
0,20194,155,Warsong Gulch
0,28187,101,Warsong Gulch
0,75845,161,Eastern Plaguelands
0,26472,35,Terokkar Forest
0,71784,281,Tirisfal Glades
0,53826,205,Badlands
0,71692,358,Netherstorm
0,71977,161,Zangarmarsh
0,27097,104,The Mechanar
0,30842,178,Orgrimmar
0,75762,NO,Orgrimmar
0,42695,296,Undercity
0,182,NO,Durotar
0,74024,251,The Hinterlands
0,29896,161,Shattrath City
0,45444,53,Terokkar Forest
0,63966,5,Warsong Gulch
0,889,282,Warsong Gulch
0,73567,103,The Steamvault
0,22021,103,The Steamvault
0,28953,101,Isle of Quel'Danas
0,1551,53,Zangarmarsh
0,29795,358,The Mechanar
0,75623,412,Alterac Mountains
0,75982,NO,Tirisfal Glades
0,75818,NO,Ashenvale
0,72885,NO,Stranglethorn Vale
0,75806,NO,Ghostlands
0,22960,251,Winterspring
0,27233,282,Azshara
0,68916,6,Zangarmarsh
0,62239,205,Blade's Edge Mountains
0,971,18,Shadowfang Keep
0,56232,104,Warsong Gulch
0,28881,NO,Shattrath City
0,34147,35,The Mechanar
0,75342,424,Orgrimmar
0,22058,103,Warsong Gulch
0,73076,101,Warsong Gulch
0,1102,358,Nagrand
0,1481,53,Arathi Basin
0,33670,103,Blade's Edge Mountains
0,71241,161,Sethekk Halls
0,11393,282,Shadowmoon Valley
0,24722,103,Warsong Gulch
0,31184,101,Warsong Gulch
0,1774,103,Shattrath City
0,71482,161,Sethekk Halls
0,68454,103,The Steamvault
0,22734,103,The Mechanar
0,57702,104,The Mechanar
0,21920,358,The Mechanar
0,22914,35,Terokkar Forest
0,2317,282,Terokkar Forest
0,29999,103,Arathi Basin
0,76095,NO,Warsong Gulch
0,76158,NO,Eversong Woods
0,76159,NO,Eversong Woods
0,76015,NO,Eversong Woods
